0,威尔 *pro* 听 着,[2]
0,*pro* 不说 这个,[6]
0,*pro* 到 时 再说,[6]
0,是 的 *pro* 可以 讨论,[6]
0,还 可以 骂街 *pro* 想 做 什么 都行,[6]
0,等等 *pro* 吧 等 人 到 齐 了 再 讨论,[1]
0,对 我 就 知道 *pro* 在 被告席上 是 她,[1]
0,*pro* 合理 怀疑 意味着 什么,[6]
0,*pro* 要 不要 先 投个 票,[6]
0,*pro* 务必 扪心自问,[2]
0,*pro* 说 什么 呢,[2]
0,我 看 *pro* 还 没准 是 女人 嫉妒 她 漂亮 呢,[3]
0,*pro* 谢 了 老兄,[7]
0,谢谢 *pro*,[2]
0,可惜 她 不是 女孩 是 *pro* 成年 女子 啦,[5]
0,行 但是 那个 圣女 *pro* 叫 什么 来 着,[5]
0,*pro* 是 被告 的 枪,[3]
0,这年头 的 大学 谋杀案 *pro* 便于 侦查 之 处 在于,[3]
0,*pro* 逍遥法外 可不 容易,[3]
0,抱歉 *pro* *pro* 法官大人,"[11, 11]"
0,她 就 在 这儿 *pro* 脚边 有 枪,[5]
0,她 说 她 当时 在 卫生间 后来 *pro* 才 出来 的,[5]
0,比安卡 说 *pro* 枪响 时 她 在 卫生间 里,[5]
0,法官大人 对不起 *pro* 是 我的 错,[1]
0,*pro* 什么 意思,[2]
0,因为 他 不 刮胡子 所以 *pro* *pro* 不 值得 信任 吗,"[4, 2]"
0,所以 *pro* 没 人 监督 你的 行为 ?,[2]
0,那么 *pro* *pro* 下面 这份 局内 违纪 报告 ...,"[2, 1]"
0,*pro* 可能 根本 就 没什么,[3]
0,那 是 无关 指控 *pro* 而且 微不足道,[3]
0,加德纳 先生 *pro* 小心 玩火自焚,[2]
0,*pro* 明早 9 : 30 重新 开庭,[6]
0,*pro* 玷污 我的 名誉 很 有趣 呵 ?,[2]
0,陪审团 ? *pro* 不要 言之过早,[2]
0,*pro* 不 客气 随时 效劳,[2]
0,回头见 *pro* *pro* 妈妈,"[2, 1]"
0,*pro* 是 个 好的开始,[3]
0,*pro* 很 抱歉 我们 是 在 亡羊补牢,[1]
0,*pro* 可以 吗,[2]
0,*pro* 花 多少 都行,[3]
0,*pro* 对 我们 这个 时代 的 一大 讽刺 就是,[3]
0,我的 天 我 忘 了 *pro* 刚才 说 到 哪 了,[1]
0,*pro* 确实,[3]
0,*pro* 等 我 一会 好 吗,[7]
0,威尔 说 *pro* 希望 你 参与 比安卡 杀人案,[4]
0,*pro* 很 好,[2]
0,如果 ... 我 发现 当事人 有罪 *pro* 就 退出,[1]
0,*pro* 更 喜欢 你 公道 的 价格,[1]
0,当事人 的 母亲 *pro* 解聘 了 上 一任 律师,[5]
0,我 同意 了 看看 证据 然后 *pro* 出个价,[2]
0,*pro* 弹道 专家 出庭 只能 推后 了,[6]
