0,乳房 的 触诊 顺序 是 什么 ,[]
0,你 男女 ？ ,[]
0,这 和 问题 有 关系 吗 ,[]
0,是 你 自己 ？ ,[]
0,不 是 ， *pro* 是 一 个 考试 的 题目 ,[3]
0,看 乳房 是 啥病 ,[]
0,哎 ， *pro* 一 看 就 知道 你 不 知道 ,[1]
1,有 没 有 人 知道 网店 管家 这 款 软件 ， 怎么样 ？ ,[]
1,*pro* 可以 ,[3]
1,你 知道 ,[]
1,买 了 一 双 詹姆斯 11 涂鸦 但 *pro* 是 不 知道 *pro* 是 不 是 xdr 底 的 *pro* 没有 吊牌 很 担心 只要 照片 可以 看 出来 是 不 ,"[1, 3, 3]"
1,*pro* 盒子 还 在 吗 ,[3]
1,在 的话 *pro* 应该 怎么 看 ,[1]
1,实现 一 个 本地 html 验证 网络 状态 ， 当 网络 完好 跳转 web .123.com ， 相反 显示 状态 不 好 . . 详细 ,[]
2,我 同时 爱上 两 个 男生  A 。 *pro* 比较 高大 帅气 ， *pro* 家庭 条件 很 好 ， *pro* 对 我 非常 宽容 ， *pro* 等 了 我 五 年 ， 即使 是 *pro* 知道 我 有 男友 ， ,"[4, 4, 4, 4, 4]"
2,爱 你 的 喜欢 你 的 帅气 的 最终 都 比 不过 对 你 好 的 。 时间 会 证明 一切 。 让 时间 选择 吧 。 ,[]
2,问题 是 *pro* 都 对 我 很 好 ,[9]
3,我 同时 爱上 两 个 男生 A 。 *pro* 比较 高大 帅气 ， *pro* 家庭 条件 很 好 ， *pro* 对 我 非常 宽容 ， *pro* 等 了 我 五 年 ， *pro* 即使 是 知道 我 有 男友 ， ,"[4, 4, 4, 4, 4]"
3,第二 个 比较 靠谱 ， 关键 看 谁 比较 孝敬 父母 ， 光对 你 好 那 是 没用 的 ,[]
3,父母 的话 ， 第一 个 ,[]
4,我 同时 爱上 两 个 男生 A 。 *pro* 比较 高大 帅气 ， *pro* 家庭 条件 很 好 ， *pro* 对 我 非常 宽容 ， *pro* 等 了 我 五 年 ，  即使 是 知道 我 有 男友 ， ,"[4, 4, 4, 4]"
4,呵呵 ， 你 确定 是 爱 ？ ,[]
4,呃 ,[]
4,*pro* 这 话 问 得 ,[2]
4,那 你 觉得 是 什么 ,[]
5,我 同时 爱上 两 个 男生 A 。 *pro* 比较 高大 帅气 ， *pro* 家庭 条件 很 好 ， *pro* 对 我 非常 宽容 ， *pro* 等 了 我 五 年 ， *pro* 即使 是 知道 我 有 男友 ， ,"[4, 4, 4, 4, 4]"
5,怎么 说 呢 ， 如果 你 当断 不断 ， *pro* 必定 会 铸成 大错 ！ ,[2]
5,对 ！ ,[]
5,问题 是 选谁 ,[]
5,如果 是 我 ， 一定 是 A 。 相信 自己 的 判断 吧 ,[]
6,请问 这 是 什么 灵芝 大 山里 的 朋友 送 *pro* 的 ,[1]
6,这 个 是 裂蹄 ， *pro* 形状 挺 好 的 ， *pro* 大概 有 个 50 年 左右 ， 可以 送朋友 收藏 ， ,"[3, 3]"
6,*pro* 很 好 吗 ？ ,[3]
6,这 个 品种 是 灵芝 中 比较 贵 的 了 ， *pro* 生长 的 比较 慢 。 *pro* 属于 比较 好 的 了 ,"[8, 8]"
6,*pro* 好眼力 我 爸 打猎 的 朋友 送 的 就 两 砣 这个 价格 是 多少 ,[2]
6,价格 看 你 自己 怎么 看 ， 有 人 喜欢 收藏 的话 ， 价格 就 能 卖 的 高 一点 ， 要是 用来 食用 的话 ， 价格 就 没有 那么 高 了 。 价格 怎么 衡量 要 看 你 自己 。 ,[]
6,有 什么 功效 了 朋友 ,[]
6,请问 这 是 什么 灵芝 大 山里 的 朋友 送 的 ,[]
6,不知 ， 反正 *pro* 是 好 东西 ， *pro* 年代 很 久 了 ,"[3, 3]"
6,谢谢 ,[]
7,"联想 Y430 显示器 一直 抖动 , *pro* 不 想 去 送检 , *pro* 怎么 自己 检查 问题 ? ","[1, 1]"
7,这 个 不 是 自己 能 弄 的 问题 ， *pro* 还是 送检 吧 ， 笔记本 的 硬件 问题 基本 是 没法 个人 解决 的 ,[2]
7,我 已经 过 了 保修期 ， 现在 *pro* 去 送检 还 要 收费 吗 ？ ,[1]
